Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start Date,2
239,578,399,30,1,59.89,4,lbw,2,,v England,Perth,14-12-2017,Test # 2288
215,503,346,25,1,62.13,3,lbw,1,,v England,Lord's,16-07-2015,Test # 2171
211,513,319,24,2,66.14,4,caught,1,,v England,Manchester,04-09-2019,Test # 2360
200*,419,311,16,0,64.30,4,not out,1,,v West Indies,Perth,30-11-2022,Test # 2477
199,513,361,21,2,55.12,3,lbw,1,,v West Indies,Kingston,11-06-2015,Test # 2166
192,433,305,15,2,62.95,4,bowled,1,,v India,Melbourne,26-12-2014,Test # 2152
178*,512,361,17,0,49.30,3,not out,1,,v India,Ranchi,16-03-2017,Test # 2256
165*,412,246,13,1,67.07,4,not out,2,,v Pakistan,Melbourne,26-12-2016,Test # 2242
162*,298,231,21,0,70.12,5,not out,1,,v India,Adelaide,09-12-2014,Test # 2148
145*,368,272,16,0,53.30,4,not out,1,,v Sri Lanka,Galle,08-07-2022,Test # 2471
144,336,219,16,2,65.75,4,bowled,1,,v England,Birmingham,01-08-2019,Test # 2353
143,387,252,17,2,56.74,3,bowled,1,,v England,The Oval,20-08-2015,Test # 2178
142,326,207,14,0,68.59,4,caught,3,,v England,Birmingham,01-08-2019,Test # 2353
141*,512,326,14,0,43.25,4,not out,2,,v England,Brisbane,23-11-2017,Test # 2282
138*,382,241,16,2,57.26,5,not out,1,,v England,The Oval,21-08-2013,Test # 2094
138,272,185,18,0,74.59,3,caught,3,,v New Zealand,Perth,13-11-2015,Test # 2187
138,350,241,17,0,57.26,4,caught,2,,v New Zealand,Christchurch,20-02-2016,Test # 2202
134*,244,177,8,0,75.70,4,not out,1,,v West Indies,Melbourne,26-12-2015,Test # 2195
133,303,191,13,2,69.63,4,bowled,2,,v India,Brisbane,17-12-2014,Test # 2149
131,298,226,16,0,57.96,4,run out,1,,v India,Sydney,07-01-2021,Test # 2402
130,312,222,19,0,58.55,4,caught,1,,v Pakistan,Brisbane,15-12-2016,Test # 2240
119,305,218,10,1,54.58,3,stumped,2,,v Sri Lanka,Colombo (SSC),13-08-2016,Test # 2217
117,268,208,15,0,56.25,4,caught,1,,v India,Sydney,06-01-2015,Test # 2156
115,249,154,17,1,74.67,5,caught,1,,v England,Sydney,03-01-2014,Test # 2113
111,295,208,14,2,53.36,5,caught,1,,v England,Perth,13-12-2013,Test # 2107
111,224,173,14,0,64.16,3,caught,1,,v India,Dharamsala,25-03-2017,Test # 2258
109,256,202,11,0,53.96,3,lbw,3,,v India,Pune,23-02-2017,Test # 2250
104,238,192,11,2,54.16,4,caught,1,,v South Africa,Sydney,04-01-2023,Test # 2488
102*,438,275,6,0,37.09,4,not out,3,,v England,Melbourne,26-12-2017,Test # 2289
100,288,213,13,0,46.94,6,caught,1,,v South Africa,Centurion,12-02-2014,Test # 2119
97,249,204,12,0,47.54,5,lbw,4,,v Pakistan,Abu Dhabi,30-10-2014,Test # 2142
93,327,201,12,1,46.26,4,lbw,1,,v England,Adelaide,16-12-2021,Test # 2441
92,236,185,10,1,49.72,5,stumped,1,,v India,Mohali,14-03-2013,Test # 2081
92,264,161,14,0,57.14,4,lbw,2,,v England,Lord's,14-08-2019,Test # 2355
89,289,196,8,0,45.40,5,caught,1,,v England,Manchester,01-08-2013,Test # 2092
85,354,242,8,1,35.12,4,caught,1,,v New Zealand,Melbourne,26-12-2019,Test # 2376
85,309,161,9,1,52.79,4,caught,2,,v South Africa,Melbourne,26-12-2022,Test # 2485
84,214,155,9,3,54.19,5,bowled,1,,v South Africa,Cape Town,01-03-2014,Test # 2122
83,254,158,5,0,52.53,4,caught,2,,v England,Sydney,04-01-2018,Test # 2291
82,155,92,11,0,89.13,4,caught,3,,v England,Manchester,04-09-2019,Test # 2360
81,260,167,8,1,48.50,4,lbw,3,,v India,Sydney,07-01-2021,Test # 2402
80,261,145,9,1,55.17,4,lbw,2,,v England,The Oval,12-09-2019,Test # 2362
78,299,196,8,0,39.79,4,caught,2,,v Pakistan,Rawalpindi,04-03-2022,Test # 2453
77,130,100,9,2,77.00,8,bowled,3,,v Pakistan,Leeds,21-07-2010,Test # 1965
76,211,156,8,0,48.71,4,bowled,1,,v England,Melbourne,26-12-2017,Test # 2289
72,280,214,7,0,33.64,4,caught,1,,v Pakistan,Karachi,12-03-2022,Test # 2455
71,92,70,8,1,101.42,4,lbw,3,,v India,Sydney,06-01-2015,Test # 2156
71,133,112,10,1,63.39,4,caught,2,,v New Zealand,Wellington,12-02-2016,Test # 2201
70*,93,70,5,0,100.00,4,not out,3,,v West Indies,Melbourne,26-12-2015,Test # 2195
67,192,141,5,0,47.51,4,caught,1,,v England,Sydney,05-01-2022,Test # 2446
63,106,70,11,0,90.00,4,caught,3,,v Pakistan,Brisbane,15-12-2016,Test # 2240
63,217,182,4,0,34.61,4,caught,1,,v New Zealand,Sydney,03-01-2020,Test # 2378
59,159,113,8,1,52.21,4,run out,2,,v South Africa,Adelaide,24-11-2016,Test # 2236
59,72,43,8,1,137.20,3,caught,3,,v Pakistan,Sydney,03-01-2017,Test # 2245
59,230,169,6,0,34.91,4,lbw,1,,v Pakistan,Lahore,21-03-2022,Test # 2458
58,67,48,9,0,120.83,3,bowled,3,,v England,Lord's,16-07-2015,Test # 2171
58,107,94,8,0,61.70,3,bowled,2,,v Bangladesh,Chattogram,04-09-2017,Test # 2273
56,155,114,11,0,49.12,4,caught,1,,v South Africa,Durban,01-03-2018,Test # 2297
55,230,175,3,0,31.42,6,caught,4,,v Pakistan,Dubai (DSC),22-10-2014,Test # 2140
55,151,125,1,0,44.00,4,lbw,4,,v Sri Lanka,Pallekele,26-07-2016,Test # 2209
55,121,74,7,0,74.32,4,caught,3,,v India,Brisbane,15-01-2021,Test # 2404
54*,132,90,6,0,60.00,7,not out,3,,v England,Sydney,03-01-2011,Test # 1989
54*,97,83,5,1,65.06,3,not out,3,,v West Indies,Kingston,11-06-2015,Test # 2166
53*,78,46,4,1,115.21,4,not out,4,,v New Zealand,Christchurch,20-02-2016,Test # 2202
53,98,79,7,1,67.08,5,caught,2,,v England,Nottingham,10-07-2013,Test # 2090
53,188,114,5,0,46.49,3,caught,2,,v New Zealand,Adelaide,27-11-2015,Test # 2190
52*,103,64,5,0,81.25,5,not out,3,,v India,Adelaide,09-12-2014,Test # 2148
49,102,72,8,0,68.05,7,caught,2,,v South Africa,Gqeberha,20-02-2014,Test # 2121
48*,137,80,5,0,60.00,4,not out,1,,v South Africa,Hobart,12-11-2016,Test # 2233
48,98,78,8,0,61.53,4,bowled,1,,v New Zealand,Brisbane,05-11-2015,Test # 2185
46,152,145,3,2,31.72,5,caught,1,,v India,Delhi,22-03-2013,Test # 2085
43,190,164,4,0,26.21,4,caught,1,,v New Zealand,Perth,12-12-2019,Test # 2374
40,84,52,5,0,76.92,4,caught,4,,v South Africa,Adelaide,24-11-2016,Test # 2236
40,119,90,3,0,44.44,4,bowled,1,,v England,Adelaide,02-12-2017,Test # 2285
38,91,67,6,0,56.71,6,bowled,3,,v England,Melbourne,26-12-2010,Test # 1986
38,97,81,3,0,46.91,4,lbw,3,,v South Africa,Durban,01-03-2018,Test # 2297
37,149,99,3,0,37.37,4,caught,4,,v Bangladesh,Mirpur,27-08-2017,Test # 2272
36*,29,20,5,0,180.00,6,not out,3,,v South Africa,Cape Town,01-03-2014,Test # 2122
36,83,62,2,0,58.06,6,caught,3,,v England,Perth,16-12-2010,Test # 1984
36,121,64,2,0,56.25,4,caught,1,,v Pakistan,Adelaide,29-11-2019,Test # 2372
36,112,77,5,0,46.75,4,caught,1,,v India,Brisbane,15-01-2021,Test # 2404
36,105,68,3,0,52.94,4,bowled,2,,v South Africa,Brisbane,17-12-2022,Test # 2482
35,51,36,2,1,97.22,4,caught,3,,v West Indies,Adelaide,08-12-2022,Test # 2479
34,118,91,5,0,37.36,4,caught,4,,v South Africa,Perth,03-11-2016,Test # 2230
33,78,56,5,0,58.92,3,caught,2,,v England,Cardiff,08-07-2015,Test # 2170
33,77,49,6,0,67.34,3,caught,4,,v England,Cardiff,08-07-2015,Test # 2170
31,80,59,4,0,52.54,5,caught,1,,v England,Brisbane,21-11-2013,Test # 2103
31,151,82,5,0,37.80,4,caught,3,,v South Africa,Hobart,12-11-2016,Test # 2233
30,65,53,3,0,56.60,4,stumped,2,,v Sri Lanka,Pallekele,26-07-2016,Test # 2209
30,57,58,3,0,51.72,5,caught,4,,v Sri Lanka,Galle,04-08-2016,Test # 2213
28,75,39,4,0,71.79,4,run out,4,,v India,Brisbane,17-12-2014,Test # 2149
28,69,48,3,0,58.33,3,lbw,4,,v India,Bengaluru,04-03-2017,Test # 2251
27,91,68,3,0,39.70,4,caught,1,,v New Zealand,Perth,13-11-2015,Test # 2187
27,128,95,2,0,28.42,3,caught,1,,v India,Pune,23-02-2017,Test # 2250
27,115,62,4,0,43.54,4,caught,3,,v England,Hobart,14-01-2022,Test # 2449
25,154,90,1,0,27.77,3,stumped,2,,v West Indies,Roseau,03-06-2015,Test # 2164
25,93,58,3,0,43.10,4,lbw,1,,v South Africa,Gqeberha,09-03-2018,Test # 2298
24,43,40,3,0,60.00,4,caught,1,,v Pakistan,Sydney,03-01-2017,Test # 2245
23*,71,54,2,0,42.59,5,not out,3,,v England,Adelaide,05-12-2013,Test # 2105
23,88,53,4,0,43.39,4,caught,4,,v England,The Oval,12-09-2019,Test # 2362
23,53,31,2,1,74.19,4,bowled,3,,v England,Sydney,05-01-2022,Test # 2446
22,51,44,3,0,50.00,5,caught,2,,v Pakistan,Dubai (DSC),22-10-2014,Test # 2140
21,98,68,2,0,30.88,4,bowled,3,,v India,Ranchi,16-03-2017,Test # 2256
20*,49,29,0,0,68.96,4,not out,3,,v West Indies,Perth,30-11-2022,Test # 2477
19,27,19,0,2,100.00,6,run out,3,,v England,Manchester,01-08-2013,Test # 2092
19,97,77,3,0,24.67,5,caught,2,,v England,Melbourne,26-12-2013,Test # 2110
18,85,53,1,0,33.96,7,caught,1,,v England,Sydney,03-01-2011,Test # 1989
